shortCode,longUrl,title,tags
ppt,https://docs.google.com/presentation/d/1D5ANvwqxitCdjsN848Ppp4VXJ6xAD4I1kHWkS1fMkDg/edit?hl=zh-tw#slide=id.g2cabe4728c8_1_3,TW1 presentation - Google 簡報,sa
123,https://answers.microsoft.com/zh-hant/windows/forum/all/win-10/12f6fc48-cab7-4d3c-b1e6-948db2de48fc,Redirecting,
net,http://140.125.95.10/term1122/network/,,資訊網路
week,https://cloud.brid.pw/s/OpS9/pdf?name=112%E5%AD%B8%E5%B9%B4%E7%AC%AC2%E5%AD%B8%E6%9C%9F%E8%A1%8C%E4%BA%8B%E6%9B%860219%E9%96%8B%E5%AD%B8.pdf,,me
acro,https://drive.brid.pw/d/MS-E5/9.%20%E8%BB%9F%E9%AB%94%E5%82%99%E4%BB%BD/Adobe/Acrobat-Pro-DC-2023.006.20320-x64-CN-Portable.7z,,me
tw1-edit,https://liveyuntechedu-my.sharepoint.com/:w:/g/personal/b11123021_live_yuntech_edu_tw/EcelUeza8WxMn57fOoUpSB4B4_KfevQJKBm0kPZJYGL8GA,Sign in to your account,sa
tw1-view,https://liveyuntechedu-my.sharepoint.com/:w:/g/personal/b11123021_live_yuntech_edu_tw/EcelUeza8WxMn57fOoUpSB4BZhR9aQcmxKwOem81B8fskw?e=Ud4Mei,Sign in to your account,sa
word,https://bridgerhung.notion.site/3243ae8860ed43f7908988dcd6567c29?pvs=4,"Notion – The all-in-one workspace for your notes, tasks, wikis, and databases.",help
com-docx,https://liveyuntechedu-my.sharepoint.com/:w:/g/personal/b11123021_live_yuntech_edu_tw/EYaNFPyCWRZLgZKQIv6xRNYB8LAf8Po7yB_aW4huaVNpmQ?e=HwPZNu,Sign in to your account,溝通技巧
yt,"https://fromsmash.com/vdXgAVUIqR-dt - Link created via Smash, the super alternative to WeTransfer.",Send and Transfer Large Files Online for Free - Smash,
summer,https://svcs.chc.edu.tw/,彰化縣暑期校園工讀營隊活動網站,me
